13959633	8287992	uicn	87721753				
13959634	8287993	uicn	87721761				
13959305	8287994	uicn	87721787				
13961432	8287995	uicn	87721811				
13959565	8287996	uicn	87721829				
13960197	8287997	uicn	87721860				
13960791	8287998	uicn	87722207				
13960794	8287999	uicn	87722231				
13961554	8288000	uicn	87722264				
13960281	8288001	uicn	87722298				
13958969	8288002	uicn	87722405				
13958971	8288003	uicn	87722439				
13959893	8288004	uicn	87722538				
13961109	8288005	uicn	87722546				
13959569	8288006	uicn	87722561				
13959894	8288007	uicn	87722579				
13929227	8288008	en	Vienne Railway Station				
13929228	8288008	fr	Gare de Vienne				
13929229	8288008	unlc	FRVIE				
13961555	8288008	uicn	87722587				
15397269	8288008	wkdt	Q2744807				
13961172	8288009	uicn	87722652				
13960282	8288010	uicn	87722678				
13959574	8288011	uicn	87722710				
13959439	8288012	uicn	87722728				
13959103	8288013	uicn	87722744				
13961480	8288014	uicn	87723320				
13961359	8288015	uicn	87723353				
13961360	8288016	uicn	87723387				
13960138	8288017	uicn	87723395				
13959441	8288018	uicn	87723429				
13959575	8288019	uicn	87723452				
13960139	8288020	uicn	87723478				
13961173	8288021	uicn	87723494				
13959766	8288022	uicn	87723502				
13960550	8288023	uicn	87723528				
13961292	8288024	uicn	87723536				
13959372	8288025	uicn	87723544				
13960076	8288026	uicn	87723551				
13960608	8288027	uicn	87723569				
13960141	8288028	uicn	87723577				
13960551	8288029	uicn	87723585				
13961111	8288030	uicn	87723700				
13960339	8288031	uicn	87723718				
13960552	8288032	uicn	87723726				
13961174	8288033	uicn	87723734				
13961295	8288034	uicn	87723742				
13961557	8288035	uicn	87723759				
13960458	8288036	uicn	87723767				
13961296	8288037	uicn	87723783				
13961112	8288038	uicn	87723791				
13961124	8288039	uicn	87725614				
13959106	8288040	uicn	87725622				
13959895	8288041	uicn	87725663				
13961125	8288042	uicn	87725671				
13929098	8288043	link	https://en.wikipedia.org/wiki/Gare_de_M%C3%A2con-Ville				
13929100	8288043	unlc	FRMAC				
13929101	8288043	en	Gare de Mâcon-Ville				
13929102	8288043	fr	Gare de Mâcon-Ville				
13929103	8288043	zh	马孔城站				
13929104	8288043	es	Estación de Mâcon-Ciudad				
13929105	8288043	it	Stazione di Mâcon-Ville				
13929106	8288043	nl	Station Mâcon-Ville				
13961830	8288043	uicn	87725689				
15481561	8288043	wkdt	Q2748547				
13960412	8288044	uicn	87725705				
13959767	8288045	uicn	87725713				
13960856	8288046	uicn	87725721				
13960984	8288047	uicn	87725739				
13960857	8288048	uicn	87725804				
13961237	8288049	uicn	87725812				
13961622	8288050	uicn	87725820				
13960553	8288051	uicn	87725838				
13960858	8288052	uicn	87725846				
13959829	8288053	uicn	87725895				
13929043	8288054	link	https://en.wikipedia.org/wiki/Gare_de_Saint-%C3%89tienne-Ch%C3%A2teaucreux				
13929044	8288054	en	Gare de Saint-Étienne-Châteaucreux				
13929045	8288054	fr	Gare de Saint-Étienne-Châteaucreux				
13929046	8288054	unlc	FREBU				
13929047	8288054	wkdt	Q2486002				
13961238	8288054	uicn	87726000				
13961239	8288055	uicn	87726158				
13961240	8288056	uicn	87726174				
13961241	8288057	uicn	87726190				
13961242	8288058	uicn	87726208				
13959442	8288059	uicn	87726216				
13960077	8288060	uicn	87726232				
13929135	8288061	unlc	FRSCD				
13929136	8288061	en	St-Chamond Railway Station				
13929137	8288061	fr	Gare de Saint-Chamond				
13961176	8288061	uicn	87726307				
13960992	8288062	uicn	87726331				
13959108	8288063	uicn	87726406				
13959377	8288064	uicn	87726414				
13961362	8288065	uicn	87726422				
13961364	8288066	uicn	87726430				
13960609	8288067	uicn	87726448				
13959378	8288068	uicn	87726471				
13960142	8288069	uicn	87726703				
13960198	8288070	uicn	87726711				
13959896	8288071	uicn	87726729				
13959242	8288072	uicn	87726760				
13959245	8288073	uicn	87726778				
13960859	8288074	uicn	87726786				
13959306	8288075	uicn	87726794				
13960993	8288076	uicn	87726802				
13960199	8288077	uicn	87726828				
13961300	8288078	uicn	87726851				
13959246	8288079	uicn	87726869				
13959897	8288080	uicn	87726877				
13960610	8288081	uicn	87726885				
13961249	8288082	uicn	87726901				
13961253	8288083	uicn	87728501				
13960144	8288084	uicn	87731828				
13959110	8288085	uicn	87731885				
13961559	8288086	uicn	87732008				
13961255	8288087	uicn	87732206				
13958909	8288088	uicn	87732404				
13961051	8288089	uicn	87734038				
13958978	8288090	uicn	87734046				
13960995	8288091	uicn	87734053				
13960861	8288092	uicn	87734087				
13960862	8288093	uicn	87734103				
13959169	8288094	uicn	87734111				
13959111	8288095	uicn	87734129				
13961128	8288096	uicn	87734152				
13960212	8288097	uicn	87734160				
13960341	8288098	uicn	87734178				
13961560	8288099	uicn	87734186				
13960795	8288100	uicn	87734194				
13960015	8288101	uicn	87734202				
13960214	8288102	uicn	87734228				
13960283	8288103	uicn	87734236				
13961831	8288104	uicn	87734244				
13959172	8288105	uicn	87734251				
13959443	8288106	uicn	87734269				
13960796	8288107	uicn	87734293				
13961257	8288108	uicn	87734301				
13960217	8288109	uicn	87734319				
13960554	8288110	uicn	87734335				
13959577	8288111	uicn	87734343				
13959034	8288112	uicn	87734368				
